Código IBGE;Municí­pios;Microregião;Estado;Região Geográfica;Área km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensção Educação;IDH - Dimensção Longevidade;Atualização
5207907;Flores de Goiás;Vão do Paranã;GO;Centro-Oeste;3709,42;17005;4634;143538,65;0,60;1636,76;7585333,50;4712;0,46;0,80
5208004;Formosa;Entorno de Brasília;GO;Centro-Oeste;5811,78;123684;38709;2333468,67;0,74;3835,63;148475800,16;53303;0,67;0,85
5208103;Formoso;Porangatu;GO;Centro-Oeste;844,29;4172;1483;65677,33;0,72;2938,27;4358065,23;1890;0,64;0,83
5208152;Gameleira de Goiás;Pires do Rio;GO;Centro-Oeste;591,99;3880;1308;153332,82;0,66;3031,79;3968318,50;1755;0,50;0,83
5208400;Goianápolis;Goiânia;GO;Centro-Oeste;162,44;11224;3536;209905,84;0,70;3179,96;11245605,83;5691;0,62;0,83
5208509;Goiandira;Catalão;GO;Centro-Oeste;564,69;5625;1967;130025,00;0,76;3811,07;7497343,45;2580;0,73;0,85
5208608;Goianésia;Ceres;GO;Centro-Oeste;1547,27;71075;22488;1388941,86;0,73;3974,53;89379395,70;42825;0,64;0,84
5208806;Goianira;Goiânia;GO;Centro-Oeste;209,04;45296;14294;938970,40;0,69;3401,44;48621984,37;17738;0,60;0,83
5208905;Goiás;Rio Vermelho;GO;Centro-Oeste;3108,02;22381;7940;461454,15;0,71;3493,47;27739604,98;12987;0,62;0,81
5209101;Goiatuba;Meia Ponte;GO;Centro-Oeste;2475,11;34202;11958;1544144,59;0,73;3735,91;44677621,57;26331;0,63;0,83
5209150;Gouvelândia;Quirinópolis;GO;Centro-Oeste;824,26;5988;2159;179358,96;0,67;3032,71;6549922,69;2427;0,56;0,81
5209200;Guapó;Goiânia;GO;Centro-Oeste;516,84;14207;4774;204153,88;0,70;3209,92;15325334,65;5932;0,58;0,83
5209291;Guaraíta;Ceres;GO;Centro-Oeste;205,31;1951;729;33140,09;0,69;2410,97;1759679,54;1038;0,63;0,82
